MUNIDESC,SALE_YEAR,SALE_MONTH,avg_ppsf,median_ppsf,sale_count
10TH WARD - PITTSBURGH,2023,11,211.47883554080198,210.08403361344537,5
10TH WARD - PITTSBURGH,2023,12,153.0150228100625,150.6500318459406,4
10TH WARD - PITTSBURGH,2024,1,189.2666605126123,187.72222222222223,9
10TH WARD - PITTSBURGH,2024,2,198.77442183475685,216.74638774810742,10
10TH WARD - PITTSBURGH,2024,3,180.43446447871176,162.7906976744186,11
10TH WARD - PITTSBURGH,2024,4,214.5872343323187,273.8095238095238,9
10TH WARD - PITTSBURGH,2024,5,227.03105333019755,216.3329336819449,18
10TH WARD - PITTSBURGH,2024,6,227.96086980556402,231.08329641116524,10
10TH WARD - PITTSBURGH,2024,7,210.25108168806264,222.2982216142271,11
10TH WARD - PITTSBURGH,2024,8,283.4435666305535,273.26498422712933,5
10TH WARD - PITTSBURGH,2024,9,216.5107370108906,207.73549594510297,7
10TH WARD - PITTSBURGH,2024,10,239.55214753659124,216.66666666666663,9
10TH WARD - PITTSBURGH,2024,11,242.67617908893195,211.9341563786008,5
10TH WARD - PITTSBURGH,2024,12,234.06025107969938,220.49748582237527,8
10TH WARD - PITTSBURGH,2025,1,216.65594100948303,216.96282679738562,12
10TH WARD - PITTSBURGH,2025,2,208.9748027047775,192.0896798589425,12
10TH WARD - PITTSBURGH,2025,3,217.09363759181952,198.71883443871286,6
10TH WARD - PITTSBURGH,2025,4,221.29482848080528,203.89249304911957,15
10TH WARD - PITTSBURGH,2025,5,234.68803514767976,241.39925546672066,16
10TH WARD - PITTSBURGH,2025,6,,,0
10TH WARD - PITTSBURGH,2025,7,,,0
10TH WARD - PITTSBURGH,2025,8,,,0
10TH WARD - PITTSBURGH,2025,9,,,0
10TH WARD - PITTSBURGH,2025,10,,,0
10TH WARD - PITTSBURGH,2025,11,,,0
10TH WARD - PITTSBURGH,2025,12,,,0
11TH WARD  - MCKEESPORT,2012,1,,,0
11TH WARD  - MCKEESPORT,2012,2,,,0
11TH WARD  - MCKEESPORT,2012,3,25.05851991146109,18.38235294117647,3
11TH WARD  - MCKEESPORT,2012,4,28.935185185185183,28.935185185185183,2
11TH WARD  - MCKEESPORT,2012,5,,,0
11TH WARD  - MCKEESPORT,2012,6,37.66799463006894,34.015151515151516,3
11TH WARD  - MCKEESPORT,2012,7,,,0
11TH WARD  - MCKEESPORT,2012,8,,,0
11TH WARD  - MCKEESPORT,2012,9,4.467609828741623,4.467609828741623,1
