MUNIDESC,SF_BUCKET,MEAN_PPSF,MEDIAN_PPSF,STD_PPSF,SAMPLE_SIZE,TIME_BAND
COLLIER,1001–1500,100.26481141712145,106.86427457098284,42.44108355874092,17,2012
COLLIER,1501–2000,108.61190169909493,102.77777777777777,69.31593175371427,16,2012
COLLIER,2001–2500,95.97030834091525,108.0,51.38226260312533,25,2012
COLLIER,2501–3000,83.08262445396817,107.15986831195289,45.96456873411072,16,2012
COLLIER,3001+,107.37709115406865,121.57138016186786,65.27322587785753,22,2012
CORAOPOLIS,0–1000,35.95938716419638,32.552083333333336,27.27026591821491,9,2012
CORAOPOLIS,1001–1500,36.6971737450894,32.63363884072331,21.816649939519227,24,2012
CORAOPOLIS,1501–2000,50.5512604165032,47.15556182947488,24.04307507455613,12,2012
CORAOPOLIS,2001–2500,43.012663562672294,34.466911764705884,22.165030871126625,9,2012
CRAFTON,0–1000,103.13861820602833,103.13861820602833,14.042523528753826,2,2012
CRAFTON,1001–1500,89.05231612994469,83.82118464577235,22.11233756289575,16,2012
